Name;Private;Public
azure-automation;privatelink.azure-automation.net;azure-automation.net
database;privatelink.database.windows.net;database.windows.net
blob;privatelink.blob.core.windows.net;blob.core.windows.net
table;privatelink.table.core.windows.net;table.core.windows.net
queue;privatelink.queue.core.windows.net;queue.core.windows.net
file;privatelink.file.core.windows.net;file.core.windows.net
web;privatelink.web.core.windows.net;web.core.windows.net
dfs;privatelink.dfs.core.windows.net;dfs.core.windows.net
documents;privatelink.documents.azure.com;documents.azure.com
mongo;privatelink.mongo.cosmos.azure.com;mongo.cosmos.azure.com
cassandra;privatelink.cassandra.cosmos.azure.com;cassandra.cosmos.azure.com
gremlin;privatelink.gremlin.cosmos.azure.com;gremlin.cosmos.azure.com
table;privatelink.table.cosmos.azure.com;table.cosmos.azure.com
postgres;privatelink.postgres.database.azure.com;postgres.database.azure.com
mysql;privatelink.mysql.database.azure.com;mysql.database.azure.com
mariadb;privatelink.mariadb.database.azure.com;mariadb.database.azure.com
vault;privatelink.vaultcore.azure.net;vault.azure.net
vaultcore;privatelink.vaultcore.azure.net;vaultcore.azure.net
westeurope-aks;privatelink.westeurope.azmk8s.io;westeurope.azmk8s.io
search;privatelink.search.windows.net;search.windows.net
azurecr;privatelink.azurecr.io;azurecr.io
azconfig;privatelink.azconfig.io;azconfig.io
westeurope-backup;privatelink.westeurope.backup.windowsazure.com;westeurope.backup.windowsazure.com
servicebus;privatelink.servicebus.windows.net;servicebus.windows.net
eventgrid;privatelink.eventgrid.azure.net;eventgrid.azure.net
azurewebsites;privatelink.azurewebsites.net;azurewebsites.net
api;privatelink.api.azureml.ms;api.azureml.ms
azure-devices;privatelink.azure-devices.net;azure-devices.net
signalr;privatelink.service.signalr.net;service.signalr.net
monitor;privatelink.monitor.azure.com;monitor.azure.com
oms;privatelink.oms.opinsights.azure.com;oms.opinsights.azure.com
ods;privatelink.ods.opinsights.azure.com;ods.opinsights.azure.com
agentsvc;privatelink.agentsvc.azure-automation.net;agentsvc.azure-automation.net
cognitiveservices;privatelink.cognitiveservices.azure.com;cognitiveservices.azure.com
afs;privatelink.afs.azure.net;afs.azure.net
datafactory;privatelink.datafactory.azure.net;datafactory.azure.net
